business_id,country,item_name,accounting_group_name
27134,FR,Tequila Sunrise #20cl,Boissons Alcoolisées
30869,FR,Mojito,Alcool - Ciel
28653,FR,Orangina - 33cl,2a - SOFT
41102,FR,MOJITO,Alcools
13063,FR,God Save the Regina,21. Pizza
25003,FR,E - Absolut Vodka Shot,E - Spirits & Liquors
10432,FR,REGINA.,PIZZE
12954,FR,mojito,51.1. Cocktail - Alcohol
22535,FR,#ORIGINAL PITA,Sandwich Pita
14137,FR,CITRONNADE GINGEMBRE❤️,Salle
12022,FR,Virgin Mojitos,Boissons
11391,FR,regina instagram - pizza jambon cuit champignon paris AVEC straccia,21. Pizza
10050,FR,Margarita Azteca,Cocktails
10695,FR,tequila sunrise,ALCOOL
38519,FR,Mojito,Alcool
26101,FR,Mojito Ananas,Boissons à emporter
42003,FR,Orangina,Boissons
8982,FR,ORANGINA 33CL,BOISSONS
25948,FR,Coeur de rumsteak,Cuisine chaud
45016,FR,ST - Cocktail Spicy Gin 15cl,ST Bev alc from ST
8982,FR,ORANGINA 33CL,BOISSONS
10786,FR,GIN TONIC,ALCOOL
10246,FR,Gaufre Liège - Originale,Gaufre Liège
13074,FR,Whisky - Soft,Alcool
38437,FR,Mojito,cocktails alcool
39808,FR,Gin Infusé Tonic re,Cocktails
39766,FR,Whisky 4cl + soda,Boissons alcoolisées
43647,FR,GINSBURGER,Cuisine
45207,FR,BURRATA AUBERGINE,PLAT DU JOUR
27134,FR,Gin Tonic 14cl,Boissons Alcoolisées
5558,FR,P.Pizza Donnarumma,Pizza
12891,FR,Pizza WOOD (Margarita),PIZZA 10%-5.5%
38766,FR,Whisky Clan Campbell 4cl,Alcool
43089,FR,Mojitoo,Boissons alcoolisées
12562,FR,Gin Tonic 25cl,Cocktails
13985,FR,Gin Tonic,Alcool
14006,FR,MOJITO,Alcool
5084,FR,BACARDI CUATRO SOIREE 4CL,LI-Liquor
11983,FR,VIRGIN MOJITO SPÉCIAL,COCKTAIL
44896,FR,Apple Mojito,Boissons AVOCADO
9856,FR,Orangina,Bar ss alcool
13962,FR,"Aubergine et jaune d’œuf confit, piment doux",Cuisine
40143,FR,Royal Mojito,Alcool
46486,FR,Verre Gin,Alcool
50747,FR,Mojito,Alcool
11362,FR,Negroni.,Boissons Alcoolisées
11391,FR,Pizza Regina,21. Pizza
13628,FR,Gin Tonic Féria,ALCOOL
10487,FR,Mojito_,Cocktails
15676,FR,Rumsteak Agneau,Cuisine Chaude
31250,FR,Orangina,Boissons Sans alcool
13588,FR,MOJITO CLASSIC,LIQUIDE 20
37293,FR,Vodka Red Bull 4 cl,Alcool
14188,FR,Flan parisien vanille bourbon individuel,PatisserieMAM
39652,FR,Mojito classique,Cocktail alcool
38603,FR,Whisky Coca,BAR ALCOOL
42230,FR,"irish coffee ( whisky irlandais 4cl, sucre de canne, café et chantilly)",Boissons Chaudes
21593,FR,BLACK MOJITO,ALCOOL
1011,FR,whisky torabhaig legacy allt gleann,Vin caviste - à emporter
13660,FR,Formule Manhattan,FORMULES
44554,FR,Pizza Old Fashioned,LOUIE LOUIE - FOOD
42412,FR,Vodka Absolut,BOISSON ALCOOL
3407,FR,Crumble,Sucré IN
13063,FR,NEW Free Britney Regina,21. Pizza
27134,FR,Tequila #2cl,Boissons Alcoolisées
12827,FR,PORNSTAR MARTINI,Boissons Alcoolisées
8334,FR,Mojito,Alcool
10050,FR,Margarita Azteca,Cocktails
12644,FR,Virgin Colada,Boissons
9076,FR,ORANGINA 25cl VC,SOFTS
45658,FR,MOJITO classique,Alcool Caliente
4100,FR,Caipi Poire bourbon,Alcool
23059,FR,Vodka Red Bull,Cocktails
38766,FR,Whisky Clan Campbell 4cl,Alcool
11391,FR,Cocktail ginto the virgin,52.1. Cocktail - Soft
12891,FR,Pizza WOOD (Margarita),PIZZA 10%-5.5%
11391,FR,Belvedere,55. Alcohol
497,FR,TAPAS THON GINGEMBRE,Cuisine
46486,FR,VIP Btle Gin Beefeater,Alcool
39841,FR,Rumsteak,Cuisine
9856,FR,Regina,Cuisine
13671,FR,V. Belvedere,Alcool
9076,FR,MOJITO,COKTAILS ALCOOL
13366,FR,VIRGIN MOJITO,SOFTS
8485,FR,Ginger beer,Boissons non alcoolisées
22365,FR,Mojito,Cocktails
46889,FR,Rigatoni alla Vodka,Pâtes Daroco 16
44246,FR,-Orangina 25cl,Soft
13660,FR,Hot Dog - Le Manhattan,HOT DOGS
25948,FR,Coeur de rumsteak,Cuisine chaud
37293,FR,Desperados original,Alcool
32061,FR,Orangina 25 cl,Boissons
3293,FR,Caviar d’aubergines,Nourriture
11391,FR,Cocktail gadjo mojito#,51.2. Cocktail - Alco Big
13100,FR,Jack Daniel's,Alcool
27134,FR,Cognac Barrel #33cl,Boissons Alcoolisées
39903,FR,ORANGINA,Boissons
12954,FR,#ERROR!,61. Extra - Soft
42749,FR,THÉ GLACÉ CITRON GINGEMBRE,BOISSONS SA
32714,FR,House Tequila shot,Alcohol
39787,FR,RUMSTEAK FRITES,Chai CUISINE GRILLADE
1675,FR,GIN TO,Alcool
1794,FR,Vodka,Alcool
6113,FR,ORANGINA,Boissons à emporter
38713,FR,Vodka Red Bull,Alcool
8630,FR,Vodka Bissap,26. Cocktails alcools
43643,FR,Virgin Mojito,SANS ALCOOL
41097,FR,Schweppes agrumes,Boissons
8302,FR,Cheesecake Original,Desserts
24444,FR,Absolut verre,Alcool
37293,FR,virgin Mojito 4 cl,Alcool
10432,FR,REGINA.,PIZZE
39042,FR,VIRGIN COLADA PASSION,BOISSONS SANS ALCOOL
11391,FR,Aubergine rotie,10. Starters - Cold
46486,FR,Verre Vodka,Alcool
34476,FR,## Coca cola Original,Beverage
5558,FR,C.Mojito,Alcool
11391,FR,Cocktail mojito di pedro Xmonaco,51.2. Cocktail - Alco Big
25003,FR,Vodka + Energy Drink PP,Spirits & Liquors
13153,FR,Pornstar Martini,COCKTAIL
44947,FR,Regina,Cuisine
34476,FR,## Coca cola Original,Beverage
12839,FR,Virgin Mojito 25cl,Boisson
27134,FR,Gin Tonic Citadelle #24cl,Boissons Alcoolisées
13063,FR,God Save the Regina,21. Pizza
46814,FR,MOJITO,MOJITO CLUB
3407,FR,Crumble,Sucré IN
31203,FR,Virgin Mojito,SANS ALCOOL
39452,FR,"MOJITO, 16 CL",BOISSON ALCOOLISEE
44741,FR,Panna Cotta Aux Agrumes,Cuisine
40077,FR,Ginette 40cl,Alcool
10695,FR,MOJITO CLASSIQUE,COCKTAILS
37643,FR,4CL MARTINI BLANC,BAR 20% AV ALCOOL
10941,FR,MOJITO PASSION,BOISSON ALCOOLISE
9076,FR,WHISKY GUILLON 40°,ALCOOL
18102,FR,margarita,Alcool
7528,FR,Cocktail SA - Virgin Mojito,Liquide Sans Alcool
25003,FR,Patron Silver,Spirits & Liquors
41102,FR,MOJITO,Alcools
32081,FR,Regina,Pinsa Romana
13155,FR,MOJITO,Cocktail Alcolisé
27122,FR,Mojito,Alcool
12644,FR,Mojito Fraise,Alcool
1797,FR,La Régine,Solide - Pizza
45645,FR,BAP BAP Originale 50cl,Boissons avec alcool
9353,FR,Shot Vodka classic,Shooter
43332,FR,Whisky fever,Cocktails
40868,FR,Mojito passion,Cocktail
38947,FR,Mojito,Alcool
11391,FR,izza Regina rossa sans straccia,21. Pizza
34551,FR,Virgin Mojito,SOFTS
12644,FR,Jameson,Alcool
34536,FR,VIRGINE MOJITO,SOFTS
13497,FR,Mojito Framboise,Cocktails
41104,FR,Gin&Softs,Alcools
